id,name,category,file,bytes,status,url,thumb
"0","Purple Salt Flats Sunset","landscape","deepin/images/purple-salt-flats-sunset.jpg","911534","ok","https://files.itab.link/wallpaper/deepin/0.jpg","https://files.itab.link/wallpaper/deepin/0.jpg?x-oss-process=image/resize,limit_0,m_fill,w_300,h_156/quality,q_96/format,webp"
"1","Antelope Canyon Waves","landscape","deepin/images/antelope-canyon-waves.jpg","1118260","ok","https://files.itab.link/wallpaper/deepin/1.jpg","https://files.itab.link/wallpaper/deepin/1.jpg?x-oss-process=image/resize,limit_0,m_fill,w_300,h_156/quality,q_96/format,webp"
"3","Sunset Mountain Ridge","landscape","deepin/images/sunset-mountain-ridge.jpg","1885674","ok","https://files.itab.link/wallpaper/deepin/3.jpg","https://files.itab.link/wallpaper/deepin/3.jpg?x-oss-process=image/resize,limit_0,m_fill,w_300,h_156/quality,q_96/format,webp"
"2","Autumn Forest Canopy","plants","deepin/images/autumn-forest-canopy.jpg","2695890","ok","https://files.itab.link/wallpaper/deepin/2.jpg","https://files.itab.link/wallpaper/deepin/2.jpg?x-oss-process=image/resize,limit_0,m_fill,w_300,h_156/quality,q_96/format,webp"
"4","Deepin Logo Gradient","abstract","deepin/images/deepin-logo-gradient.jpg","3165205","ok","https://files.itab.link/wallpaper/deepin/4.jpg","https://files.itab.link/wallpaper/deepin/4.jpg?x-oss-process=image/resize,limit_0,m_fill,w_300,h_156/quality,q_96/format,webp"
"8","Sandstone Canyon Passage","landscape","deepin/images/sandstone-canyon-passage.jpg","870376","ok","https://files.itab.link/wallpaper/deepin/8.jpg","https://files.itab.link/wallpaper/deepin/8.jpg?x-oss-process=image/resize,limit_0,m_fill,w_300,h_156/quality,q_96/format,webp"
"10","Desert Dunes at Dawn","landscape","deepin/images/desert-dunes-at-dawn.jpg","583749","ok","https://files.itab.link/wallpaper/deepin/10.jpg","https://files.itab.link/wallpaper/deepin/10.jpg?x-oss-process=image/resize,limit_0,m_fill,w_300,h_156/quality,q_96/format,webp"
"5","Deepin Logo Ribbons","abstract","deepin/images/deepin-logo-ribbons.jpg","4173125","ok","https://files.itab.link/wallpaper/deepin/5.jpg","https://files.itab.link/wallpaper/deepin/5.jpg?x-oss-process=image/resize,limit_0,m_fill,w_300,h_156/quality,q_96/format,webp"
"7","Aurora Borealis Night","sky","deepin/images/aurora-borealis-night.jpg","2568488","ok","https://files.itab.link/wallpaper/deepin/7.jpg","https://files.itab.link/wallpaper/deepin/7.jpg?x-oss-process=image/resize,limit_0,m_fill,w_300,h_156/quality,q_96/format,webp"
"6","Neon Vortex Glow","abstract","deepin/images/neon-vortex-glow.jpg","2185104","ok","https://files.itab.link/wallpaper/deepin/6.jpg","https://files.itab.link/wallpaper/deepin/6.jpg?x-oss-process=image/resize,limit_0,m_fill,w_300,h_156/quality,q_96/format,webp"
"12","Blue Betta Fish","animals","deepin/images/blue-betta-fish.jpg","374360","ok","https://files.itab.link/wallpaper/deepin/12.jpg","https://files.itab.link/wallpaper/deepin/12.jpg?x-oss-process=image/resize,limit_0,m_fill,w_300,h_156/quality,q_96/format,webp"
